기준연도,시도코드,시도명,대학구분명,대학교명,본분교구분명,설립형태구분명,평균입학금액,평균등록금액,데이터기준일자,제공기관코드,제공기관명
2023,51,강원특별자치도,대학,춘천교육대학교,본교,국립,0,3313000,2023-10-31,B552529,한국장학재단
2023,11,서울특별시,원격대학,한국방송통신대학교,본교,국립,0,760969.1,2023-10-31,B552529,한국장학재단
2023,31,울산광역시,대학,울산과학기술원,본교,국립,0,6211366.7,2023-10-31,B552529,한국장학재단
2023,51,강원특별자치도,대학,강릉원주대학교,제2캠퍼,국립,0,4288390.2,2023-10-31,B552529,한국장학재단
2023,51,강원특별자치도,대학,강원대학교,제2캠퍼,국립,0,4247955.6,2023-10-31,B552529,한국장학재단
2023,46,전라남도,대학,전남대학교,제2캠퍼,국립,0,4111572.3,2023-10-31,B552529,한국장학재단
2023,44,충청남도,전문대학,충남도립대학교,본교,공립,0,2454454.2,2023-10-31,B552529,한국장학재단
2023,51,강원특별자치도,전문대학,강원도립대학교,본교,공립,0,2332789,2023-10-31,B552529,한국장학재단
2023,47,경상북도,전문대학,경북도립대학교,본교,공립,0,2450118.5,2023-10-31,B552529,한국장학재단
2023,41,경기도,전문대학,한국복지대학교,본교,국립,0,2731734.4,2023-10-31,B552529,한국장학재단
2023,48,경상남도,전문대학,경남도립거창대학,본교,공립,0,2841776.2,2023-10-31,B552529,한국장학재단
2023,46,전라남도,전문대학,전남도립대학교,본교,공립,0,1934625,2023-10-31,B552529,한국장학재단
2023,48,경상남도,전문대학,경남도립남해대학,본교,공립,0,2773764.7,2023-10-31,B552529,한국장학재단
2023,43,충청북도,전문대학,충북도립대학교,본교,공립,0,1868551.7,2023-10-31,B552529,한국장학재단
2023,45,전라북도,전문대학,한국농수산대학교,본교,국립,0,0,2023-10-31,B552529,한국장학재단
2023,11,서울특별시,대학,한국예술종합학교,본교,국립,0,4806454.7,2023-10-31,B552529,한국장학재단
2023,29,광주광역시,대학,광주과학기술원,본교,국립,0,2060000,2023-10-31,B552529,한국장학재단
2023,30,대전광역시,대학,한국과학기술원,본교,국립,0,6866000,2023-10-31,B552529,한국장학재단
2023,27,대구광역시,대학,대구경북과학기술원,본교,국립,0,7280000,2023-10-31,B552529,한국장학재단
2023,29,광주광역시,대학,송원대학교,본교,사립,0,6584458.3,2023-10-31,B552529,한국장학재단
2023,28,인천광역시,대학,인천가톨릭대학교,제2캠퍼,사립,0,8418415.8,2023-10-31,B552529,한국장학재단
2023,11,서울특별시,전문대학,한국폴리텍 I 대학 서울강서캠퍼스,본교,사립,0,2494000,2023-10-31,B552529,한국장학재단
2023,41,경기도,전문대학,한국폴리텍 I 대학 성남캠퍼스,본교,사립,0,2432000,2023-10-31,B552529,한국장학재단
2023,28,인천광역시,전문대학,한국폴리텍 II 대학 남인천캠퍼스,본교,사립,0,2494000,2023-10-31,B552529,한국장학재단
2023,51,강원특별자치도,전문대학,한국폴리텍 III 대학 강릉캠퍼스,본교,사립,0,2531500,2023-10-31,B552529,한국장학재단
2023,43,충청북도,전문대학,한국폴리텍 IV 대학 청주캠퍼스,본교,사립,0,2432000,2023-10-31,B552529,한국장학재단
2023,44,충청남도,전문대학,한국폴리텍 IV 대학 아산캠퍼스,본교,사립,0,2432000,2023-10-31,B552529,한국장학재단
2023,44,충청남도,전문대학,한국폴리텍 IV 대학 홍성캠퍼스,본교,사립,0,2164000,2023-10-31,B552529,한국장학재단
2023,45,전라북도,전문대학,한국폴리텍 V 대학 전북캠퍼스,본교,사립,0,2321000,2023-10-31,B552529,한국장학재단
2023,46,전라남도,전문대학,한국폴리텍 V 대학 전남캠퍼스,본교,사립,0,2164000,2023-10-31,B552529,한국장학재단
2023,45,전라북도,전문대학,한국폴리텍 V 대학 익산캠퍼스,본교,사립,0,2432000,2023-10-31,B552529,한국장학재단
2023,47,경상북도,전문대학,한국폴리텍 VI 대학 구미캠퍼스,본교,사립,0,2432000,2023-10-31,B552529,한국장학재단
2023,51,강원특별자치도,전문대학,한국폴리텍 III 대학 춘천캠퍼스,본교,사립,0,2432000,2023-10-31,B552529,한국장학재단
2023,30,대전광역시,전문대학,한국폴리텍 IV 대학 대전캠퍼스,본교,사립,0,2432000,2023-10-31,B552529,한국장학재단
2023,29,광주광역시,전문대학,한국폴리텍 V 대학 광주캠퍼스,본교,사립,0,2432000,2023-10-31,B552529,한국장학재단
2023,27,대구광역시,전문대학,한국폴리텍 VI 대학 대구캠퍼스,본교,사립,0,2432000,2023-10-31,B552529,한국장학재단
2023,48,경상남도,전문대학,한국폴리텍 VII 대학 창원캠퍼스,본교,사립,0,2432000,2023-10-31,B552529,한국장학재단
